name,,n,clinical_phase,moa,target,disease_area,indication,drug_median_score,in_vitro,all_virus_mock_meta_GSE47960_SARS-BatSRBD_HAE_36_72,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_12_48,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_48_60,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_0_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_48
gr-127935,,17,Preclinical,serotonin receptor antagonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6,,,65,FALSE,35,42,178,128,85,214,276,61,43,54,65
dequalinium,,2,Launched,PKC inhibitor,KCNN1|KCNN3,,,66,FALSE,921,300,66,193,337,65,540,46,31,47,64
etoposide,,35,Launched,topoisomerase inhibitor,TOP2A|TOP2B,oncology,non-small cell lung cancer (NSCLC),66,FALSE,10,570,229,9,19,23,25,546,360,102,66
tioguanine,,3,Phase 2,purine antagonist,,,,66,FALSE,66,69,115,37,66,32,79,510,118,13,27
penfluridol,,23,Launched,T-type calcium channel blocker,CACNA1G,neurology/psychiatry,schizophrenia,69,FALSE,49,174,197,49,43,69,91,554,148,28,10
ciclopirox,,4,Launched,membrane integrity inhibitor,ATP1A1,infectious disease,onychomycosis,71,FALSE,27,142,297,38,63,64,37,187,184,123,71
pentamidine,,11,Launched,anti-pneumocystis agent,TRDMT1,infectious disease,pneumonia,72,FALSE,62,151,116,72,72,61,345,306,24,44,30
bntx,,13,Preclinical,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,,,74,FALSE,163,19,1206,55,84,78,74,487,60,11,6
topotecan,,26,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,small cell lung cancer|cervical cancer,75,FALSE,75,181,65,65,68,42,23,198,147,106,123
clofarabine,,14,Launched,ribonucleotide reductase inhibitor,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,hematologic malignancy,acute lymphoblastic leukemia (ALL),76,FALSE,31,1145,474,34,34,35,50,902,552,87,76
zm-39923,,3,Preclinical,JAK inhibitor,JAK1|JAK3,,,76,FALSE,77,206,510,46,56,50,30,374,159,76,34
nsc-3852,,19,Preclinical,HDAC inhibitor,HDAC1,,,81,FALSE,11,120,1533,33,42,81,96,860,248,73,32
rs-17053,,15,Preclinical,adrenergic receptor antagonist,ADRA1A|ADRA1D,,,84,FALSE,157,74,84,123,118,143,319,34,48,45,53
actinomycin-d,,3,Launched,RNA polymerase inhibitor,,oncology,Wilm's tumor|Ewing's sarcoma|rhabdomyosarcoma|testicular carcinoma,89,FALSE,126,117,21,124,86,89,94,59,44,84,144
nsc-632839,,95,Preclinical,ubiquitin specific protease inhibitor,SENP2|USP1|USP2|USP7,,,90,FALSE,136,226,1480,50,49,90,70,600,270,49,19
chloroxine,,15,Launched,opioid receptor antagonist,OPRK1,gastroenterology|infectious disease|dermatology,diarrhea|inflammatory bowel disease|giardiasis|dandruff,91,FALSE,60,169,246,54,52,74,69,439,276,93,91
panobinostat,,73,Launched,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,multiple myeloma,91,FALSE,18,4,91,63,107,160,78,133,193,107,81
mitoxantrone,,77,Launched,topoisomerase inhibitor,TOP2A,neurology/psychiatry|oncology|hematologic malignancy,multiple sclerosis|prostate cancer|acute myeloid leukemia (AML),92,FALSE,51,177,262,74,76,97,15,26,92,131,486
alexidine,,4,Preclinical,phosphatidylglycerophosphatase inhibitor,PTPMT1,,,93,FALSE,677,18,870,97,219,63,47,93,37,97,74
astemizole,,3,Withdrawn,histamine receptor antagonist,HRH1|KCNH1|KCNH2,,,93,TRUE,184,446,53,95,54,79,19,22,93,118,93
methotrexate,,10,Launched,dihydrofolate reductase inhibitor,DHFR,oncology|hematologic malignancy|dermatology|rheumatology,gestational choriocarcinoma|hydatidiform mole|acute lymphoblastic leukemia (ALL)|psoriasis|rheumatoid arthritis,94,FALSE,20,709,138,17,33,29,31,94,182,148,130
nitazoxanide,,7,Launched,pyruvate ferredoxin oxidoreductase inhibitor,,gastroenterology,diarrhea,98,TRUE,505,92,207,92,61,98,28,63,246,108,149
triclosan,,14,Launched,antibacterial agent,DNMT1,,,100,FALSE,72,100,433,94,71,127,71,303,256,86,115
oxyphenbutazone,,4,Withdrawn,cyclooxygenase inhibitor,PLA2G2E|PTGS1|PTGS2,,,101,FALSE,185,101,301,42,37,51,231,437,524,69,51
ki-8751,,19,Preclinical,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,,,103,FALSE,300,103,456,64,59,73,122,1131,384,66,82
trichostatin-a,,804,Preclinical,HDAC inhibitor,HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,104,FALSE,45,15,71,100,146,294,81,234,378,211,104
zk-93423,,17,Phase 3,benzodiazepine receptor agonist,GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,,,105,FALSE,73,251,537,66,39,17,58,517,240,146,105
oxiconazole,,5,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,tinea pedis|tinea cruris|tinea corporis,106,FALSE,109,289,10,84,106,54,241,68,141,80,199
bithionol,,17,Withdrawn,autotaxin inhibitor,ESR1|ESR2|MCL1,,,107,FALSE,177,29,357,71,64,107,118,533,236,62,49
luteolin,,3,Phase 2,glucosidase inhibitor,TOP1,,,108,FALSE,254,108,29,218,221,417,774,54,22,96,54
sulconazole,,13,Launched,sterol demethylase inhibitor,,infectious disease,tinea pedis|tinea cruris|tinea corporis,108,FALSE,46,96,122,102,82,108,301,170,131,52,117
pd-198306,,16,Preclinical,MAP kinase inhibitor|MEK inhibitor,MAP2K1|MAP2K2,,,112,FALSE,165,112,347,98,153,104,169,153,111,53,55
troxipide,,2,Launched,glucosamine synthetase stimulant,,gastroenterology,gastroesophageal reflux disease (GERD),113,FALSE,28,40,557,114,424,369,706,36,34,104,113
clofilium,,3,Phase 2,potassium channel blocker,KCNA5|KCNH1,,,117,FALSE,270,575,32,108,160,142,830,117,71,72,77
nisoldipine,,10,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNB2,cardiology,hypertension,118,FALSE,95,99,145,81,87,228,194,205,130,91,118
anisomycin,,24,Preclinical,DNA synthesis inhibitor,NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1,,,119,FALSE,321,262,912,28,38,21,119,158,181,46,14
bibu-1361,,14,Preclinical,EGFR inhibitor,EGFR,,,119,FALSE,92,170,98,225,203,743,586,28,17,59,119
cmpd-1,,9,Preclinical,p38 MAPK inhibitor,GNRHR|MAPK14,,,120,FALSE,24,477,1160,39,40,53,40,1015,1065,120,414
thiostrepton,,34,Launched,FOXM1 inhibitor|protein synthesis inhibitor,FOXM1,obstetrics/gynecology,mastitis,123,FALSE,43,146,1520,68,44,123,146,1134,314,81,52
cgs-15943,,59,Preclinical,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3,,,126,FALSE,80,21,461,76,130,126,213,395,129,55,57
obatoclax,,16,Phase 3,BCL inhibitor,BCL2,,,127,FALSE,308,124,871,77,62,80,174,504,416,127,109
tosedostat,,49,Phase 2,peptidase inhibitor,ANPEP|LAP3|NPEPPS,,,128,FALSE,118,156,306,52,55,128,323,222,241,71,61
wye-125132,,65,Preclinical,mTOR inhibitor,MTOR,,,129,FALSE,215,16,203,136,249,129,129,5,4,34,86
gw-405833,,43,Preclinical,cannabinoid receptor agonist,CNR2,,,130,FALSE,256,130,764,109,103,87,125,345,401,83,131
azacitidine,,19,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL),131,FALSE,175,225,131,47,32,46,193,484,197,29,33
kn-93,,10,Preclinical,calcium/calmodulin dependent protein kinase inhibitor,CAMK2A,,,131,FALSE,81,338,99,178,119,154,248,131,98,119,177
calcipotriol,,14,Launched,vitamin D receptor agonist,VDR,dermatology,psoriasis,132,FALSE,132,150,492,118,127,55,66,333,251,129,141
menadione,,65,Launched,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,gastroenterology|neurology/psychiatry|dermatology|rheumatology,ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis,133,FALSE,169,351,444,61,58,60,133,1074,440,117,94
orlistat,,6,Launched,lipase inhibitor,CNR1|DAGLA|DAGLB|FASN|LIPF|PNLIP,endocrinology,weight-loss aid,134,FALSE,87,249,458,122,122,134,257,145,239,79,73
lasalocid,,29,Launched,bacterial permeability inducer,,infectious disease,coccidiosis,138,FALSE,220,62,455,201,110,130,138,293,191,95,95
ro-28-1675,,61,Preclinical,glucokinase activator,GCK,,,138,FALSE,138,175,274,73,65,117,156,304,235,65,124
way-170523,,13,Preclinical,metalloproteinase inhibitor,MMP13,,,140,FALSE,74,58,322,131,140,322,155,233,144,115,88
cgp-53353,,17,Preclinical,EGFR inhibitor|PKC inhibitor,EGFR|PRKCB,,,142,FALSE,106,831,723,142,96,138,99,549,658,114,209
clotrimazole,,5,Launched,cytochrome P450 inhibitor|imidazoline receptor ligand,CYP3A4|KCNN4|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8,infectious disease,vulvovaginal candidiasis|oropharyngeal candidiasis,142,FALSE,120,773,238,125,79,408,89,88,457,142,178
pik-75,,65,Preclinical,DNA protein kinase inhibitor|PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,,143,FALSE,103,292,60,195,235,262,33,23,26,143,347
triciribine,,63,Phase 1/Phase 2,AKT inhibitor,AKT1|AKT2|AKT3,,,143,FALSE,144,85,539,79,89,62,143,525,415,116,145
disulfiram,,8,Launched,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist,ALDH2|DBH,neurology/psychiatry,abstinence from alcohol,145,TRUE,213,119,361,44,57,112,187,818,615,145,72
emetine,,115,Phase 2,protein synthesis inhibitor,RPS2,,,145,TRUE,691,331,1005,26,31,34,228,332,145,58,25
tw-37,,39,Preclinical,BCL inhibitor,BCL2|BCL2L1|MCL1,,,146,FALSE,29,243,1024,58,83,146,32,592,478,155,58
suloctidil,,20,Withdrawn,adrenergic receptor antagonist,,,,147,FALSE,189,147,289,91,91,76,233,371,279,98,70
mitomycin-c,,25,Launched,DNA alkylating agent|DNA synthesis inhibitor,,oncology,pancreatic cancer|gastric adenocarcinoma,149,FALSE,114,588,119,69,78,124,149,927,633,254,157
perhexiline,,50,Launched,carnitine palmitoyltransferase inhibitor,CPT1A|CPT2,cardiology,angina pectoris,150,FALSE,296,157,403,143,137,150,296,181,133,78,80
hycanthone,,3,Launched,RNA synthesis inhibitor,,infectious disease,schistosomiasis,151,FALSE,388,5,87,222,151,204,76,77,89,628,852
spiperone,,17,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7,neurology/psychiatry,schizophrenia,151,FALSE,208,484,504,59,45,49,87,618,869,151,114
terfenadine,,16,Withdrawn,histamine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|KCNH1|KCNH2,,,152,FALSE,368,118,251,227,152,226,787,65,88,94,142
tacedinaline,,49,Phase 3,HDAC inhibitor,HDAC1,,,153,FALSE,248,23,778,153,190,100,217,267,54,82,127
capsazepine,,13,Preclinical,TRPV agonist,TRPV1|TRPV4,,,155,FALSE,84,238,482,147,93,199,65,578,607,112,155
nonoxynol-9,,14,Launched,membrane integrity inhibitor,,endocrinology,contraceptive,155,FALSE,125,198,353,155,158,139,152,240,222,89,143
chlorhexidine,,3,Launched,membrane integrity inhibitor,,dermatology|infectious disease|dental,cosmetic|skin infections|gingivitis,157,FALSE,331,487,78,157,166,257,360,19,11,43,50
wortmannin,,584,Preclinical,PI3K inhibitor,PI4KA|PI4KB|PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1|PRKDC,,,157,FALSE,209,143,144,182,277,157,178,17,16,67,174
osi-027,,54,Phase 1,mTOR inhibitor,MTOR,,,158,FALSE,520,47,124,197,297,158,252,4,7,92,252
lanatoside-c,,6,Preclinical,cardiac glycoside,,,,159,FALSE,464,235,317,159,213,68,158,130,230,77,97
arctigenin,,16,Preclinical,MEK inhibitor,CHUK|MAP2K1,,,162,FALSE,187,321,630,121,141,122,101,287,265,126,162
cyt387,,17,Phase 3,,JAK1|JAK2|JAK3,,,162,FALSE,108,45,575,285,305,162,123,417,84,105,206
entinostat,,58,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC9,,,162,FALSE,252,20,656,161,258,168,52,84,162,109,215
nvp-bez235,,85,Phase 2,mTOR inhibitor|PI3K inhibitor,ATR|MTOR|PIK3CA|PIK3CD|PIK3CG,,,164,FALSE,320,93,104,191,288,188,222,1,2,40,164
pha-793887,,59,Phase 1,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,,,165,FALSE,12,308,165,130,164,137,5,236,356,202,224
sb-218078,,21,Preclinical,CHK inhibitor,CHEK1,,,165,FALSE,116,470,194,103,139,106,120,1045,434,189,165
tacrine,,2,Launched,acetylcholinesterase inhibitor,ACHE|BCHE,neurology/psychiatry,Alzheimer's disease,165,FALSE,64,11,1069,318,449,211,165,90,78,207,59
aminopurvalanol-a,,34,Preclinical,CDK inhibitor|tyrosine kinase inhibitor,CDK1|CDK2|CDK5|CDK6,,,166,FALSE,85,241,75,166,218,311,92,108,126,172,301
carmofur,,4,Launched,thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer,167,FALSE,166,1296,889,62,73,165,84,1323,358,276,167
cyt-997,,40,Phase 2,tubulin polymerization inhibitor,TUBB,,,167,FALSE,167,180,792,87,105,70,197,550,127,140,202
irinotecan,,27,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer,168,FALSE,32,1019,168,29,35,95,113,1391,863,208,219
miconazole,,3,Launched,bacterial cell wall synthesis inhibitor,KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,infectious disease|neurology/psychiatry,yeast infection|itching,168,FALSE,182,191,719,168,385,86,151,113,335,68,90
at7867,,13,Preclinical,AKT inhibitor,AKT2|GSK3B|PKIA|PRKACA,,,169,FALSE,53,194,169,303,293,336,464,102,64,70,83
tyrphostin-ag-1478,,66,Preclinical,EGFR inhibitor,EGFR|MAPK14,,,170,FALSE,170,365,142,233,228,513,377,78,157,110,161
y-134,,11,Preclinical,estrogen receptor antagonist,ESR1|ESR2,,,170,FALSE,145,380,125,315,170,271,341,126,307,158,110
digitoxin,,23,Launched,ATPase inhibitor,ATP1A1,,,173,FALSE,600,432,385,88,135,111,173,309,269,101,87
etanidazole,,8,Phase 3,bacterial cell wall synthesis inhibitor,,,,174,FALSE,174,141,374,247,379,187,855,105,6,64,62
fluvastatin,,15,Launched,HMGCR inhibitor,HMGCR,endocrinology|cardiology,hypercholesterolemia|congenital heart defects,175,FALSE,70,71,732,366,251,303,352,149,112,74,175
vorinostat,,860,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9,hematologic malignancy,cutaneous T-cell lymphoma (CTCL),176,FALSE,86,44,176,156,211,333,90,244,535,299,153
tetrindole,,13,Phase 3,monoamine oxidase inhibitor,MAOA,,,177,FALSE,295,128,513,177,155,166,195,83,138,177,188
fenretinide,,34,Phase 3,apoptosis stimulant|retinoid receptor agonist,RARA,,,178,FALSE,235,168,882,80,98,116,205,1110,640,178,139
amonafide,,13,Phase 3,topoisomerase inhibitor,TOP2A|TOP2B,,,179,FALSE,161,179,1178,146,335,121,82,137,668,406,371
iniparib,,10,Phase 3,PARP inhibitor,PARP1,,,179,FALSE,162,73,560,179,265,528,427,502,36,85,96
bx-795,,48,Preclinical,IKK inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1,,,180,FALSE,180,239,467,75,116,82,68,228,211,150,380
ibrutinib,,26,Launched,Bruton's tyrosine kinase (BTK) inhibitor,BLK|BMX|BTK,hematologic malignancy,chronic lymphocytic leukemia (CLL)|mantle cell lymphoma (MCL)|Waldenstrom's macroglobulinemia (WM),180,FALSE,584,133,180,459,744,472,574,111,27,88,179
quiflapon,,39,Phase 2,leukotriene synthesis inhibitor,ALOX5|ALOX5AP,,,180,FALSE,241,192,424,83,67,115,180,586,319,57,92
reserpine,,13,Launched,vesicular monoamine transporter inhibitor,SLC18A1|SLC18A2,cardiology,hypertension,180,FALSE,93,153,1209,180,102,289,431,231,271,100,152
auranofin,,50,Launched,NFkB pathway inhibitor,IKBKB|PRDX5|TRPA1,rheumatology,rheumatoid arthritis,181,FALSE,206,367,310,135,97,181,168,529,243,128,98
bix-01294,,18,Preclinical,histone lysine methyltransferase inhibitor,EHMT1|EHMT2,,,181,FALSE,168,230,1289,199,156,99,136,456,447,181,89
bmy-45778,,9,Preclinical,IP1 prostacyclin receptor agonist,PTGIR,,,182,FALSE,40,359,887,53,53,182,103,855,783,226,159
cyclosporin-a,,73,Launched,calcineurin inhibitor,PPP3CA,rheumatology|dermatology,rheumatoid arthritis|psoriasis,182,FALSE,207,457,399,140,75,164,153,358,505,162,182
mocetinostat,,16,Phase 2,HDAC inhibitor,HDAC1|HDAC11|HDAC2|HDAC3,,,183,FALSE,183,152,430,252,387,375,340,89,109,125,140
torin-1,,67,Preclinical,mTOR inhibitor,MTOR,,,183,FALSE,291,39,193,209,356,183,261,10,5,24,68
lofepramine,,3,Launched,norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI),HTR1A|SLC6A2|SLC6A4,neurology/psychiatry,depression,184,FALSE,130,25,1342,184,143,973,511,148,128,216,207
raloxifene,,8,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),ESR1|ESR2,orthopedics|oncology,osteoporosis|breast cancer,185,FALSE,134,137,109,185,316,223,278,67,296,132,187
digitoxigenin,,18,Preclinical,ATPase inhibitor,ATP1A1,,,187,FALSE,977,743,519,105,187,83,175,262,383,159,148
